Order Date,Order ID,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
5/26/2021,114-1798343-3213063,AMZN_US(TBA073049561104),$29.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$29.98 
5/28/2021,114-9600937-1653011,AMZN_US(TBA079762789104),$39.28 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$39.28 
5/28/2021,114-4996295-6622644,AMZN_US(TBA079762789104),$27.11 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$27.11 
5/28/2021,114-5266686-6218600,USPS(9405516902876869707324),$27.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$27.00 
6/5/2021,111-9415370-1760257,USPS(9361289670090648999623),$279.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$279.99 
6/5/2021,111-9415370-1760257,AMZN_US(TBA087374119504),$39.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$39.99 
6/5/2021,111-9464467-1144209,AMZN_US(TBA084083777004),$89.95 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$89.95 
6/5/2021,111-1630750-8571414,AMZN_US(TBA082781854104),$14.99 ,$0.00 ,$1.24 ,$0.00 ,$1.24 ,$16.23 
6/5/2021,111-1679393-6797848,UPS(1Z6908F60311029278),$88.16 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$88.16 
6/6/2021,111-1899643-0441030,AMZN_US(TBA087374119504),$29.99 ,$0.00 ,$0.00 ,$2.00 ,$0.00 ,$27.99 
6/6/2021,111-1899643-0441030,AMZN_US(TBA087056074404),$48.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$48.99 
6/6/2021,111-5516892-6578601,,$8.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$8.99 
6/12/2021,111-5772097-9628248,DHL(9274890198177829048876),$43.15 ,$0.00 ,$1.42 ,$0.00 ,$1.42 ,$44.57 
7/10/2021,111-8822747-6609805,AMZL(TBA352635012000),$369.00 ,$0.00 ,$37.82 ,$0.00 ,$37.82 ,$406.82 
7/25/2021,111-6632225-7586611,AMZN_US(TBA013155207103),$8.90 ,$0.00 ,$0.91 ,$0.00 ,$0.91 ,$9.81 
7/31/2021,111-9842277-8612220,DHL(9274890198176908560827),$23.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$23.00 
8/3/2021,111-9678498-5779432,AMZN_US(TBA147451864204),$9.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$9.99 
8/5/2021,111-1480399-2401056,AMZN_US(TBA148992605304),$19.86 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$19.86 
8/5/2021,111-3026982-2560255,AMZN_US(TBA156482263404),$44.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$44.99 
8/16/2021,111-3387242-0612261,USPS(9300120111406463439966),$9.90 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$9.90 
8/18/2021,111-2908860-0719404,USPS(9361289670090669815742),$97.39 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$97.39 
8/23/2021,111-9802350-0076200,USPS(9341920111406488020388),$21.12 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$21.12 
8/23/2021,111-2813701-0363441,OSM(9241990288795252459635),$11.47 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$11.47 
8/23/2021,111-8499415-1685040,AMZN_US(TBA172316853704),$56.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$56.98 
